raw_name,canonical_name,archetype
Boros Energy,Boros Energy,Aggro
Eldrazi Tron,Eldrazi Tron,Ramp
Affinity,Affinity,Aggro
Ruby Storm,Ruby Storm,Combo
Domain Zoo,Domain Zoo,Midrange
Dimir Control,Dimir Control,Control
Eldrazi Ramp,Eldrazi Ramp,Ramp
Izzet Prowess,Izzet Prowess,Aggro
Jeskai Blink,Jeskai Blink,Blink
Living End,Living End,Reanimator
Golgari Yawgmoth,Golgari Yawgmoth,Midrange
Amulet Titan,Amulet Titan,Combo
Esper Blink,Esper Blink,Blink
Esper Reanimator,Esper Reanimator,Reanimator
Grixis Reanimator,Grixis Reanimator,Reanimator
Azorius Control,Azorius Control,Control
Neobrand,Neobrand,Combo
Simic Ritual,Simic Ritual,Aggro
Necrodominance,Necrodominance,Combo
Eldrazi Bloodchief,Eldrazi Bloodchief,Combo
Hollow One,Hollow One,Reanimator
Tameshi Belcher,Tameshi Belcher,Combo
Izzet Metalcraft,Izzet Metalcraft,Midrange
Grinding Emry,Grinding Emry,Combo
Dimir Frog,Dimir Frog,Midrange
Samwise Combo,Samwise Combo,Combo
Mono Blue Tron,Mono Blue Tron,Ramp
Eldrazi Aggro,Eldrazi Aggro,Aggro
