Deck,Suggested Canonical Name,Confidence,Reason
5c Legends,,0.0,No close canonical match
Boros Convoke,,0.0,No close canonical match
Hidden Strings,,0.0,No close canonical match
Izzet Phoenix,,0.0,No close canonical match
Niv to Light,,0.0,No close canonical match
Orzhov Greasefang,,0.0,No close canonical match
Selesnya Angels,,0.0,No close canonical match
Selesnya Company,,0.0,No close canonical match
UB,,0.0,Color code placeholder (manual decision)
UR,,0.0,Color code placeholder (manual decision)
WR,,0.0,Color code placeholder (manual decision)
WUBR,,0.0,Color code placeholder (manual decision)
