pattern,archetype,match_type,priority
4/5c Omnath,Midrange,exact,1
4c Control,Control,exact,1
4C Energy,Aggro,exact,1
4c HollowOne,Graveyard,exact,1
4c Midrange,Midrange,exact,1
4c Omnath,Midrange,exact,1
5c Midrange,Midrange,exact,1
Affinity,Aggro,exact,1
Amulet Titan,Combo,exact,1
Asmo Food,Combo,exact,1
Azorius Blink,Blink,exact,1
Azorius Control,Control,exact,1
Azorius Energy,Control,exact,1
Azorius GenericBlink,Blink,exact,1
Bant Blink,Blink,exact,1
Bant GenericBlink,Blink,exact,1
Belcher,Combo,exact,1
BG,Midrange,exact,1
Bogles,Aggro,exact,1
Boros Burn,Aggro,exact,1
Boros Energy,Aggro,exact,1
Boros Midrange,Midrange,exact,1
Boros Ponza,Control,exact,1
BR,Aggro,exact,1
BRG,Midrange,exact,1
Broodscale Combo,Combo,exact,1
Burn,Aggro,exact,1
Crashing Footfalls,Combo,exact,1
Death & Taxes,Control,exact,1
Death's Shadow,Aggro,exact,1
Devoted Combo,Combo,exact,1
Dimir Control,Control,exact,1
Dimir Faeries,Aggro,exact,1
Dimir Midrange,Midrange,exact,1
Dimir Mill,Combo,exact,1
Dimir Murktide,Midrange,exact,1
Dimir Reanimator,Graveyard,exact,1
Dimir Tezzerator,Midrange,exact,1
Domain Zoo,Midrange,exact,1
Eldrazi,Combo,exact,1
Eldrazi Ramp,Ramp,exact,1
Eldrazi Tron,Ramp,exact,1
Esper Blink,Blink,exact,1
Esper Control,Control,exact,1
Esper GenericBlink,Blink,exact,1
Esper Midrange,Midrange,exact,1
Esper Mill,Combo,exact,1
Esper Murktide,Midrange,exact,1
Esper Reanimator,Graveyard,exact,1
G,Ramp,exact,1
Generic Ragavan,Aggro,exact,1
Goblins,Aggro,exact,1
Golgari Basking Broodscale Combo,Combo,exact,1
Goryo's Vengeance,Graveyard,exact,1
Green Devotion,Ramp,exact,1
Grixis Control,Control,exact,1
Grixis Cutter,Aggro,exact,1
Grixis Midrange,Midrange,exact,1
Grixis Murktide,Midrange,exact,1
Grixis Prowess,Aggro,exact,1
Grixis Reanimator,Graveyard,exact,1
Gruul Basking Broodscale Combo,Combo,exact,1
Gruul Midrange,Midrange,exact,1
Gruul Prowess,Aggro,exact,1
Hammer Time,Combo,exact,1
Hardened Scales,Aggro,exact,1
Hollow One,Graveyard,exact,1
Humans,Aggro,exact,1
Indomitable Creativity,Combo,exact,1
Infect,Aggro,exact,1
Izzet Control,Control,exact,1
Izzet Cutter,Aggro,exact,1
Izzet Phoenix,Aggro,exact,1
Izzet Prowess,Aggro,exact,1
Izzet Splinter Twin,Combo,exact,1
Izzet Steel-Cutter,Aggro,exact,1
IzzetControl,Control,exact,1
Jeskai Blink,Blink,exact,1
Jeskai Control,Control,exact,1
Jeskai Energy,Aggro,exact,1
Jeskai Steel-Cutter,Aggro,exact,1
Jeskai Stoneblade,Control,exact,1
Jund,Midrange,exact,1
Jund Saga,Midrange,exact,1
Kethis Combo,Combo,exact,1
Land Destruction,Control,exact,1
Lantern,Control,exact,1
Living End,Graveyard,exact,1
Mardu Blink,Blink,exact,1
Mardu Energy,Aggro,exact,1
Mardu GenericBlink,Blink,exact,1
Mardu HollowOne,Graveyard,exact,1
Merfolk,Aggro,exact,1
Mill,Combo,exact,1
Miracles,Control,exact,1
Mono-Black Midrange,Midrange,exact,1
Mono-Blue Tron,Ramp,exact,1
Mono-Green Basking Broodscale Combo,Combo,exact,1
Mono-Green Eldrazi,Ramp,exact,1
Mono-Green Midrange,Midrange,exact,1
Mono-Green Tron,Ramp,exact,1
Mono-Red Artifact Reanimation,Graveyard,exact,1
Mono-Red Burn,Aggro,exact,1
Mono-Red Cutter,Aggro,exact,1
Mono-White Control,Control,exact,1
Naya Burn,Aggro,exact,1
Naya Energy,Aggro,exact,1
Necrodominance,Control,exact,1
Neobrand,Combo,exact,1
Orzhov Blink,Blink,exact,1
Orzhov GenericBlink,Blink,exact,1
Orzhov Midrange,Midrange,exact,1
Prowess,Aggro,exact,1
R,Aggro,exact,1
Ragavan,Aggro,exact,1
Rakdos Aggro,Aggro,exact,1
Rakdos Delirium,Aggro,exact,1
Rakdos HollowOne,Graveyard,exact,1
