EventDate,IngestedAt,EventID,EventName,EventType,Format,Season,LoginID,Name,Placement,PointsAwarded
2026-07-13,2026-09-02T09:20:04Z,12847150,Modern Challenge 64,challenge,modern,Summer 2026,3311758,Kollslaw,1,5
2026-07-13,2026-09-02T09:20:04Z,12847150,Modern Challenge 64,challenge,modern,Summer 2026,3183766,yeojlil,2,4
2026-07-13,2026-09-02T09:20:04Z,12847150,Modern Challenge 64,challenge,modern,Summer 2026,3442638,bananadisaster,3,3
2026-07-13,2026-09-02T09:20:04Z,12847150,Modern Challenge 64,challenge,modern,Summer 2026,2760324,jayrod115,4,3
2026-07-13,2026-09-02T09:20:04Z,12847150,Modern Challenge 64,challenge,modern,Summer 2026,1636994,gazmon48,5,2
2026-07-13,2026-09-02T09:20:04Z,12847150,Modern Challenge 64,challenge,modern,Summer 2026,3540949,pedronavaja,6,2
2026-07-13,2026-09-02T09:20:04Z,12847150,Modern Challenge 64,challenge,modern,Summer 2026,3275763,UnusualAnt,7,2
2026-07-13,2026-09-02T09:20:04Z,12847150,Modern Challenge 64,challenge,modern,Summer 2026,2729232,MC_amp2267,8,2
2026-07-13,2026-09-02T09:20:04Z,12847150,Modern Challenge 64,challenge,modern,Summer 2026,3359144,TheColorOfBoom,9,1
2026-07-13,2026-09-02T09:20:04Z,12847150,Modern Challenge 64,challenge,modern,Summer 2026,3085636,GigaChadSigmaMale,10,1
2026-07-13,2026-09-02T09:20:04Z,12847150,Modern Challenge 64,challenge,modern,Summer 2026,3069560,Pafru,11,1
2026-07-13,2026-09-02T09:20:04Z,12847150,Modern Challenge 64,challenge,modern,Summer 2026,3030517,wft,12,1
2026-07-13,2026-09-02T09:20:04Z,12847150,Modern Challenge 64,challenge,modern,Summer 2026,3556231,PMMori,13,1
2026-07-13,2026-09-02T09:20:04Z,12847150,Modern Challenge 64,challenge,modern,Summer 2026,2468640,ashmosus,14,1
2026-07-13,2026-09-02T09:20:04Z,12847150,Modern Challenge 64,challenge,modern,Summer 2026,2661255,MixolydianMagus,15,1
2026-07-13,2026-09-02T09:20:04Z,12847150,Modern Challenge 64,challenge,modern,Summer 2026,2781425,Baurong,16,1
2026-07-13,2026-09-02T09:20:04Z,12847150,Modern Challenge 64,challenge,modern,Summer 2026,2757366,kaikas,17,0
2026-07-13,2026-09-02T09:20:04Z,12847150,Modern Challenge 64,challenge,modern,Summer 2026,1952341,ejk,18,0
2026-07-13,2026-09-02T09:20:04Z,12847150,Modern Challenge 64,challenge,modern,Summer 2026,750888,LucasG1ggs,19,0
2026-07-13,2026-09-02T09:20:04Z,12847150,Modern Challenge 64,challenge,modern,Summer 2026,1942357,nahuel10,20,0
2026-07-13,2026-09-02T09:20:04Z,12847150,Modern Challenge 64,challenge,modern,Summer 2026,643454,Sarlanga,21,0
2026-07-13,2026-09-02T09:20:04Z,12847150,Modern Challenge 64,challenge,modern,Summer 2026,1126781,derlumberzack,22,0
2026-07-13,2026-09-02T09:20:04Z,12847150,Modern Challenge 64,challenge,modern,Summer 2026,2127900,soggymeatball,23,0
2026-07-13,2026-09-02T09:20:04Z,12847150,Modern Challenge 64,challenge,modern,Summer 2026,1742159,peter780108,24,0
2026-07-13,2026-09-02T09:20:04Z,12847150,Modern Challenge 64,challenge,modern,Summer 2026,2842847,lilianna1989,25,0
2026-07-13,2026-09-02T09:20:04Z,12847150,Modern Challenge 64,challenge,modern,Summer 2026,3247117,KillerWhale01,26,0
2026-07-13,2026-09-02T09:20:04Z,12847150,Modern Challenge 64,challenge,modern,Summer 2026,3449198,Jftwest,27,0
2026-07-13,2026-09-02T09:20:04Z,12847150,Modern Challenge 64,challenge,modern,Summer 2026,1114887,Highzac,28,0
2026-07-13,2026-09-02T09:20:04Z,12847150,Modern Challenge 64,challenge,modern,Summer 2026,2372533,niuwaid001,29,0
