EventDate,Format,Tier,PlayerCount,EventSlug,EventID,Place,Deck,Archetype,Pilot,LoginID
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,1,Affinity,Aggro,SFDK,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,2,Eldrazi Tron,Ramp,LucasG1ggs,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,3,Yawgmoth,Midrange,jontih,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,4,URG,Midrange,Kollslaw,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,5,Affinity,Aggro,Chaughey,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,6,Yawgmoth,Midrange,Moorehardcore,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,7,Yawgmoth,Midrange,AChord4Five,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,8,Azorius Control,Control,YungDingo,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,9,Azorius Blink,Blink,Spellyp,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,10,Jeskai Blink,Blink,_Babbuja_,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,11,Boros Energy,Aggro,jvidarte,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,12,Living End,Graveyard,416FrowningTable,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,13,Belcher,Combo,billster47,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,14,Ruby Storm,Combo,Asa_Akira,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,15,Boros Energy,Aggro,xfile,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,16,Grixis Reanimator,Graveyard,SaN3,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,17,Boros Energy,Aggro,NJ5030,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,18,Yawgmoth,Midrange,Pugface,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,19,Belcher,Combo,E90_DeliveryBoy,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,20,Boros Energy,Aggro,klien7,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,21,Eldrazi Tron,Ramp,jessy_samek,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,22,Prowess,Aggro,nahuel10,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,23,Boros Energy,Aggro,sandydogmtg,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,24,Esper Blink,Blink,bcs8995,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,25,Dimir Midrange,Midrange,lilianna1989,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,26,Boros Energy,Aggro,indianpancake,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,27,Eldrazi Tron,Ramp,TuckerMTG,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,28,Rakdos Midrange,Midrange,COMBOCORY,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,29,Eldrazi Ramp,Ramp,Lightspirit,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,30,Jeskai Blink,Blink,Venom1,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,31,Boros Energy,Aggro,MurkyWadda,
2025-12-22,Modern,32,,challenge_C32_2025-12-22_decklist,,32,Affinity,Aggro,gazmon48,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,1,Sultai Ritual,Midrange,medvedev,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,2,Ruby Storm,Combo,hugofreitas1,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,3,Amulet Titan,Combo,Croco-polarbear,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,4,Eldrazi Tron,Ramp,AlpInco,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,5,Ruby Storm,Combo,pnkthrepwood,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,6,Eldrazi Tron,Ramp,hermanomlg,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,7,Boros Energy,Aggro,Rashek,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,8,Affinity,Aggro,SFDK,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,9,Ruby Storm,Combo,0men,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,10,Eldrazi Tron,Ramp,LORiWWA,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,11,Living End,Graveyard,PainterMTG,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,12,Eldrazi Ramp,Ramp,Odin2015,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,13,Affinity,Aggro,Deathnote1999,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,14,Living End,Graveyard,MeninooNey,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,15,Rakdos Aggro,Aggro,Dudarudi,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,16,Amulet Titan,Combo,justAlice,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,17,Azorius Control,Control,YungDingo,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,18,Eldrazi Tron,Ramp,Alan07,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,19,Ruby Storm,Combo,Asa_Akira,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,20,Affinity,Aggro,lokman120,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,21,Dimir Midrange,Midrange,TekiAkuma,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,22,Boros Midrange,Midrange,__BMJ__,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,23,Eldrazi Tron,Ramp,Zolazar,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,24,Eldrazi Ramp,Ramp,Lightspirit,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,25,Living End,Graveyard,Daniluengos14,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,26,Yawgmoth,Midrange,frodomochas,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,27,Prowess,Aggro,MJ_23,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,28,Kethis Combo,Combo,jready,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,29,Amulet Titan,Combo,Boucha,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,30,Affinity,Aggro,peter780108,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,31,Eldrazi Tron,Ramp,Antarctica,
2025-12-22,Modern,64,,challenge_C64_2025-12-22_decklist,,32,Affinity,Aggro,Callenutg1,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,1,Amulet Titan,Combo,deftjad,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,2,Eldrazi Tron,Ramp,jessy_samek,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,3,Boros Energy,Aggro,jvidarte,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,4,Eldrazi Tron,Ramp,Scooby_Snacks,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,5,Jeskai Energy,Aggro,DrPP,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,6,Sultai Ritual,Midrange,fradev1988,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,7,Boros Energy,Aggro,Napoleon_I,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,8,Eldrazi Ramp,Ramp,Odin2015,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,9,Boros Energy,Aggro,_lluks_,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,10,Jeskai Blink,Blink,mtgobazaar8,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,11,Sultai Ritual,Midrange,bless_von,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,12,Dimir Midrange,Midrange,TekiAkuma,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,13,Affinity,Aggro,fried-liver-attack,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,14,Boros Energy,Aggro,xfile,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,15,Orzhov Stoneblade,Combo,SuperCow12653,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,16,Goryo's Vengeance,Graveyard,JuanmaAT,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,17,Eldrazi Tron,Ramp,ivan229,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,18,Eldrazi Ramp,Ramp,Lightspirit,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,19,Azorius Control,Control,Danielstallone,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,20,Jeskai Blink,Blink,yriel,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,21,Yawgmoth,Midrange,DemonicTutors,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,22,Jeskai Blink,Blink,bcs8995,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,23,UBR,Midrange,IIlllIIlIIIllIlIllII,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,24,Living End,Graveyard,MisterTwin,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,25,Ruby Storm,Combo,pwqz,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,26,Boros Energy,Aggro,iceyfire95,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,27,Domain Zoo,Midrange,Zolazar,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,28,Boros Energy,Aggro,Rashek,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,29,Boros Energy,Aggro,peter780108,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,30,Affinity,Aggro,Patxi,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,31,Boros Energy,Aggro,fazparte,
2025-12-23,Modern,64,,challenge_C64_2025-12-23_decklist,,32,Mono-Red Prison,Prison,JulianJohn,
2025-12-27,Modern,32,,challenge_C32_2025-12-27_decklist,,1,Jeskai Blink,Blink,felider,
2025-12-27,Modern,32,,challenge_C32_2025-12-27_decklist,,2,Boros Energy,Aggro,xfile,
2025-12-27,Modern,32,,challenge_C32_2025-12-27_decklist,,3,Domain Zoo,Midrange,Cinnamonboffa,
2025-12-27,Modern,32,,challenge_C32_2025-12-27_decklist,,4,Boros Energy,Aggro,chrish2134,
2025-12-27,Modern,32,,challenge_C32_2025-12-27_decklist,,5,Broodscale Combo,Combo,HelpfulHobo,
2025-12-27,Modern,32,,challenge_C32_2025-12-27_decklist,,6,Ruby Storm,Combo,TerminalJustice,
2025-12-27,Modern,32,,challenge_C32_2025-12-27_decklist,,7,Boros Energy,Aggro,fazparte,
2025-12-27,Modern,32,,challenge_C32_2025-12-27_decklist,,8,Yawgmoth,Midrange,AChord4Five,
2025-12-27,Modern,32,,challenge_C32_2025-12-27_decklist,,9,Dimir Midrange,Midrange,ETBJezus,
2025-12-27,Modern,32,,challenge_C32_2025-12-27_decklist,,10,Eldrazi Tron,Ramp,MTGeeGee,
2025-12-27,Modern,32,,challenge_C32_2025-12-27_decklist,,11,Prowess,Aggro,Prim3Time,
2025-12-27,Modern,32,,challenge_C32_2025-12-27_decklist,,12,Ruby Storm,Combo,hugofreitas1,
2025-12-27,Modern,32,,challenge_C32_2025-12-27_decklist,,13,Ruby Storm,Combo,N0000000B,
2025-12-27,Modern,32,,challenge_C32_2025-12-27_decklist,,14,Domain Zoo,Midrange,CrepesForLife,
2025-12-27,Modern,32,,challenge_C32_2025-12-27_decklist,,15,Jeskai Blink,Blink,Venom1,
2025-12-27,Modern,32,,challenge_C32_2025-12-27_decklist,,16,Tron,Ramp,NotCorazon,
2025-12-27,Modern,32,,challenge_C32_2025-12-27_decklist,,17,Eldrazi Tron,Ramp,bless_von,
2025-12-27,Modern,32,,challenge_C32_2025-12-27_decklist,,18,Indomitable Creativity,Combo,suk-my-snowman,
2025-12-27,Modern,32,,challenge_C32_2025-12-27_decklist,,19,Affinity,Aggro,Chaughey,
2025-12-27,Modern,32,,challenge_C32_2025-12-27_decklist,,20,Rakdos Midrange,Midrange,COMBOCORY,
2025-12-27,Modern,32,,challenge_C32_2025-12-27_decklist,,21,Jeskai Blink,Blink,peter780108,
