EventID,EventDate,Tier,EventClass,Pilot,LoginID,Place,Deck,DeckGuess,LeaguePoints,SwissRank,SwissPoints,OMWP,GWP,OGWP
12854901,2026-09-24,C64,Challenge,GigaChadSigmaMale,3085636,1,Azorius Control,,5,6,18,0.51293,0.70588,0.51038
12854901,2026-09-24,C64,Challenge,xfile,2449332,2,Broodscale Combo,,4,4,18,0.58776,0.76471,0.54515
12854901,2026-09-24,C64,Challenge,MayoDominaria,1112102,3,Jeskai Energy,,3,7,15,0.64898,0.61111,0.60174
12854901,2026-09-24,C64,Challenge,Mattatoio,3349386,4,Broodscale Combo,,3,8,15,0.63605,0.68750,0.55984
12854901,2026-09-24,C64,Challenge,ilGianB1,2358671,5,Broodscale Combo,,2,1,21,0.62925,0.82353,0.57499
12854901,2026-09-24,C64,Challenge,Riftbound,3502250,6,Tron,,2,2,18,0.65986,0.70588,0.59836
12854901,2026-09-24,C64,Challenge,simoneromarm,2676235,7,Prowess,,2,3,18,0.60646,0.68421,0.56507
12854901,2026-09-24,C64,Challenge,_pba_,2905380,8,Goryo's Vengeance,,2,5,18,0.52721,0.76471,0.52995
12854901,2026-09-24,C64,Challenge,PTarts2win,1588717,9,Broodscale Combo,,1,9,15,0.59864,0.68750,0.54816
12854901,2026-09-24,C64,Challenge,Gobern,1847500,10,Eldrazi Ramp,,1,10,15,0.57823,0.64706,0.55600
12854901,2026-09-24,C64,Challenge,TheDogFather8,3563896,11,Prowess,,1,11,15,0.57483,0.61111,0.52788
12854901,2026-09-24,C64,Challenge,alexeezayyy,1126161,12,Land Destruction,,1,12,15,0.55374,0.63158,0.54617
12854901,2026-09-24,C64,Challenge,FynnOfBlood,2799885,13,Eldrazi Tron,,1,13,15,0.54082,0.55000,0.53268
12854901,2026-09-24,C64,Challenge,Piglet,1402171,14,WBG,,1,14,15,0.53333,0.57895,0.54198
12854901,2026-09-24,C64,Challenge,rastaf,254536,15,Esper Blink,,1,15,15,0.53231,0.61111,0.53797
12854901,2026-09-24,C64,Challenge,RCMerriam,1041920,16,Broodscale Combo,,1,16,15,0.52993,0.61111,0.50849
12854901,2026-09-24,C64,Challenge,Sorathrix,2705240,17,Living End,,0,17,15,0.52381,0.64706,0.51628
12854901,2026-09-24,C64,Challenge,Lightspirit,3222070,18,Eldrazi Ramp,,0,18,15,0.52381,0.57143,0.50369
12854901,2026-09-24,C64,Challenge,Gorzone,2697545,19,Boros Energy,,0,19,15,0.51360,0.55556,0.51342
12854901,2026-09-24,C64,Challenge,Sarlanga,643454,20,Domain Zoo,,0,20,15,0.51020,0.66667,0.50981
12854901,2026-09-24,C64,Challenge,Takayama,3293313,21,Boros Energy,,0,21,12,0.70068,0.58824,0.60629
12854901,2026-09-24,C64,Challenge,Sven745,3035942,22,Prowess,,0,22,12,0.65306,0.58824,0.57556
12854901,2026-09-24,C64,Challenge,Jumba,2618500,23,Tron,,0,23,12,0.64966,0.55556,0.59188
12854901,2026-09-24,C64,Challenge,Thunus,3076886,24,Broodscale Combo,,0,24,12,0.63946,0.55556,0.56162
12854901,2026-09-24,C64,Challenge,pedronavaja,3540949,25,Broodscale Combo,,0,25,12,0.58435,0.52632,0.54989
12854901,2026-09-24,C64,Challenge,redmogg,2702512,26,Broodscale Combo,,0,26,12,0.54694,0.52941,0.54106
12854901,2026-09-24,C64,Challenge,Uagli1,2680052,27,Broodscale Combo,,0,27,12,0.53742,0.52941,0.52457
12854901,2026-09-24,C64,Challenge,lunaloveee,2886236,28,Eldrazi Ramp,,0,28,12,0.53401,0.52941,0.53361
12854901,2026-09-24,C64,Challenge,Watchwolf92,574591,29,URG,,0,29,12,0.52381,0.50000,0.50370
12854901,2026-09-24,C64,Challenge,Dirty0wl,2682368,30,Prowess,,0,30,12,0.51361,0.56250,0.48081
12854901,2026-09-24,C64,Challenge,RainerZahnfall92,1023580,31,Boros Energy,,0,31,12,0.51020,0.52941,0.51632
12854901,2026-09-24,C64,Challenge,SanPop,2621451,32,Broodscale Combo,,0,32,12,0.51020,0.52941,0.49019
