EventDate,Format,Tier,PlayerCount,EventSlug,EventID,Place,Deck,Archetype,Pilot,LoginID
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,1,Goryo's Vengeance,Graveyard,felider,2322146
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,2,Prowess,Aggro,Sven745,3035942
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,3,Grixis Reanimator,Graveyard,lgqueiroz3,2011282
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,4,Boros Energy,Aggro,Curtisaxel,1911445
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,5,Goryo's Vengeance,Graveyard,VampireDiaries,2283377
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,6,Boros Energy,Aggro,vento1223,3381476
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,7,Through the Breach,Combo,Pigprob,3448603
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,8,4c HollowOne,Graveyard,PJKP,3400071
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,9,Goryo's Vengeance,Graveyard,Bryzem1,2306501
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,10,Amulet Titan,Combo,DFrank,2273904
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,11,Ruby Storm,Combo,hugofreitas1,1997683
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,12,Rakdos HollowOne,Graveyard,kattsu,3405528
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,13,Boros Energy,Aggro,albybale93,1721886
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,14,Goryo's Vengeance,Graveyard,Manuel_Danninger,2628981
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,15,Mono-Green Eldrazi,Ramp,Rexplosion,1860596
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,16,Broodscale Combo,Combo,littlebinboy,3136515
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,17,Neobrand,Combo,duke12,6062
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,18,Broodscale Combo,Combo,bananadisaster,3442638
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,19,Amulet Titan,Combo,Ouranos139,2316177
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,20,Boros Energy,Aggro,truestory,1077635
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,21,Eldrazi Tron,Ramp,Sawter,3014842
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,22,Boros Energy,Aggro,Uagli1,2680052
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,23,Mono-Green Eldrazi,Ramp,jps_17,1066436
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,24,Devoted Combo,Combo,daibloXSC,710116
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,25,Boros Energy,Aggro,mikeleee,2708396
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,26,Broodscale Combo,Combo,nightwitch,1780347
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,27,Living End,Graveyard,BrPestana,2653594
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,28,Neobrand,Combo,shigure1020,1918736
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,29,Broodscale Combo,Combo,Takemikazuchi,3558661
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,30,Tron,Ramp,soggymeatball,2127900
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,31,Broodscale Combo,Combo,sultai4lyfe,1614331
2026-07-19,Modern,None,343,modern-rc-super-qualifier,12847670,32,Mono-Green Eldrazi,Ramp,Koala40,2043303
2026-07-25,Modern,None,33,modern-showcase-qualifier,12848159,1,Broodscale Combo,Combo,ls149950,1862893
2026-07-25,Modern,None,33,modern-showcase-qualifier,12848159,2,Boros Energy,Aggro,Lollopollo2001,2373595
2026-07-25,Modern,None,33,modern-showcase-qualifier,12848159,3,Broodscale Combo,Combo,wutey,2916560
2026-07-25,Modern,None,33,modern-showcase-qualifier,12848159,4,Esper Blink,Blink,yriel,2537131
2026-07-25,Modern,None,33,modern-showcase-qualifier,12848159,5,Domain Zoo,Midrange,moon11,1471145
2026-07-25,Modern,None,33,modern-showcase-qualifier,12848159,6,Belcher,Combo,Savior0117,2464763
2026-07-25,Modern,None,33,modern-showcase-qualifier,12848159,7,Dimir Midrange,Midrange,Dioferreira,1950164
2026-07-25,Modern,None,33,modern-showcase-qualifier,12848159,8,Devoted Combo,Combo,daibloXSC,710116
2026-07-25,Modern,None,33,modern-showcase-qualifier,12848159,9,Land Destruction,Control,KelMasterP,390789
2026-07-25,Modern,None,33,modern-showcase-qualifier,12848159,10,Grixis Reanimator,Graveyard,shenyang45,3115176
2026-07-25,Modern,None,33,modern-showcase-qualifier,12848159,11,Goryo's Vengeance,Graveyard,CliffBoyardee,2908645
2026-07-25,Modern,None,33,modern-showcase-qualifier,12848159,12,Goryo's Vengeance,Graveyard,chengyiw,2405278
2026-07-25,Modern,None,33,modern-showcase-qualifier,12848159,13,Affinity,Aggro,moreno13,3113973
2026-07-25,Modern,None,33,modern-showcase-qualifier,12848159,14,Affinity,Aggro,kePs,1984508
2026-07-25,Modern,None,33,modern-showcase-qualifier,12848159,15,Dimir Midrange,Midrange,TrueHero,2569009
2026-07-25,Modern,None,33,modern-showcase-qualifier,12848159,16,Dimir Midrange,Midrange,ETBJezus,3040474
2026-07-25,Modern,None,33,modern-showcase-qualifier,12848159,17,Yawgmoth,Midrange,Zoru,2808047
2026-07-25,Modern,None,33,modern-showcase-qualifier,12848159,18,Jeskai Ascendancy,Unknown,hugeowl,3148704
2026-07-25,Modern,None,33,modern-showcase-qualifier,12848159,19,Neobrand,Combo,rerere,2298957
2026-07-25,Modern,None,33,modern-showcase-qualifier,12848159,20,Dimir Midrange,Midrange,KangXiaotian,3377456
2026-07-25,Modern,None,33,modern-showcase-qualifier,12848159,21,Domain Zoo,Midrange,PharmD_MTG,2832530
